size of corpus: 10178

filename	report	source:
E09-1095	 	*
E09-1096	 	*
E09-1093	 	*
E09-1094	 	*
E09-1099	*	*
A88-1027	 	*
E09-1097	*	*
E09-1091	 	*
E09-1092	*	*
E09-1090	*	*
A88-1022	 	*
W97-0908	 	*
A88-1019	 	*
A88-1018	 	*
W97-0903	 	*
W97-0902	 	*
A88-1014	 	*
A88-1013	 	*
A88-1011	 	*
E09-1077	 	*
E09-1078	 	*
E09-1075	*	
A88-1008	 	*
E09-1073	*	
E09-1074	 	*
E09-1071	*	*
E09-1070	*	*
A88-1003	 	*
E09-1069	 	*
E09-1068	*	*
E09-1086	*	*
E09-1087	*	*
E09-1088	*	*
E09-1089	 	*
E09-1082	*	*
E09-1085	 	*
E09-1080	*	*
E09-1081	 	*
W04-1903	 	*
E09-1051	*	*
W04-1904	 	*
E09-1050	*	
W04-1905	 	*
E09-1056	*	*
E09-1055	*	*
T78-1029	 	*
W04-1901	 	*
E09-1053	*	*
E09-1049	*	*
E09-1046	 	*
E09-1047	*	*
J91-4003	*	*
E09-1061	*	*
E09-1060	*	*
E09-1063	*	*
E09-1062	*	*
W04-1911	 	*
E09-1065	 	*
E09-1064	*	*
E09-1066	*	*
E09-1058	 	*
E09-1059	*	*
E09-1034	*	*
E09-1033	*	*
E09-1031	*	*
W98-0701	*	*
E09-1026	*	*
E09-1027	 	*
E09-1024	 	*
E09-1025	*	*
E09-1043	 	*
E09-1042	*	*
E09-1045	*	*
E09-1044	*	*
E09-1041	*	
E09-1040	 	*
E09-1035	*	
E09-1036	 	*
E09-1037	*	*
E09-1038	*	*
W10-4146	*	
W10-4144	 	*
W10-4143	*	
W10-4141	*	
W12-0208	*	
P11-2112	*	*
W11-1510	 	*
P11-2111	 	*
W11-1512	 	*
P00-1020	 	*
P11-2113	 	*
W11-1514	 	*
W04-0807	 	*
P00-1022	*	*
W11-1513	 	*
P00-1023	 	*
W04-0806	 	*
P00-1024	 	*
W11-1516	 	*
W11-1506	 	*
P00-1016	 	*
W04-0813	 	*
W04-0814	 	*
P00-1015	 	*
W11-1508	 	*
P00-1017	*	*
P11-2104	 	*
P00-1019	 	*
W04-0811	 	*
W10-4132	 	*
P11-2125	*	*
P00-1010	 	*
P11-2124	*	*
P11-2123	*	*
P11-2122	 	*
P00-1013	 	*
P11-2121	*	*
W06-3907	 	*
P00-1014	*	*
P11-2120	 	*
W04-0818	 	*
P00-1011	 	*
W06-3909	 	*
